date,TRON_unscaled,TRON_monthly,isPartial,scale,TRON
2020-01-01,91,,,,
2020-01-02,91,,,,
2020-01-03,77,,,,
2020-01-04,96,,,,
2020-01-05,69,44.0,False,0.44,30.36
2020-01-06,74,44.0,,0.44,32.56
2020-01-07,76,44.0,,0.44,33.44
2020-01-08,67,44.0,,0.44,29.48
2020-01-09,70,44.0,,0.44,30.8
2020-01-10,78,44.0,,0.44,34.32
2020-01-11,77,44.0,,0.44,33.88
2020-01-12,100,50.0,False,0.5,50.0
2020-01-13,72,50.0,,0.5,36.0
2020-01-14,77,50.0,,0.5,38.5
2020-01-15,89,50.0,,0.5,44.5
2020-01-16,85,50.0,,0.5,42.5
2020-01-17,84,50.0,,0.5,42.0
2020-01-18,81,50.0,,0.5,40.5
2020-01-19,87,49.0,False,0.49,42.63
2020-01-20,85,49.0,,0.49,41.65
2020-01-21,68,49.0,,0.49,33.32
2020-01-22,86,49.0,,0.49,42.14
2020-01-23,81,49.0,,0.49,39.69
2020-01-24,82,49.0,,0.49,40.18
2020-01-25,86,49.0,,0.49,42.14
2020-01-26,86,50.0,False,0.5,43.0
2020-01-27,60,50.0,,0.5,30.0
2020-01-28,90,50.0,,0.5,45.0
2020-01-29,85,50.0,,0.5,42.5
2020-01-30,89,50.0,,0.5,44.5
2020-01-31,86,50.0,,0.5,43.0
2020-02-01,52,50.0,,0.5,26.0
2020-02-02,52,63.0,False,0.63,32.76
2020-02-03,100,63.0,,0.63,63.0
2020-02-04,57,63.0,,0.63,35.910000000000004
2020-02-05,48,63.0,,0.63,30.240000000000002
2020-02-06,52,63.0,,0.63,32.76
2020-02-07,55,63.0,,0.63,34.65
2020-02-08,58,63.0,,0.63,36.54
2020-02-09,60,52.0,False,0.52,31.200000000000003
2020-02-10,53,52.0,,0.52,27.560000000000002
2020-02-11,46,52.0,,0.52,23.92
2020-02-12,44,52.0,,0.52,22.880000000000003
2020-02-13,52,52.0,,0.52,27.04
2020-02-14,58,52.0,,0.52,30.16
2020-02-15,54,52.0,,0.52,28.080000000000002
2020-02-16,60,46.0,False,0.46,27.6
2020-02-17,47,46.0,,0.46,21.62
2020-02-18,42,46.0,,0.46,19.32
2020-02-19,40,46.0,,0.46,18.400000000000002
2020-02-20,49,46.0,,0.46,22.540000000000003
2020-02-21,39,46.0,,0.46,17.94
2020-02-22,53,46.0,,0.46,24.380000000000003
2020-02-23,60,47.0,False,0.47,28.2
2020-02-24,44,47.0,,0.47,20.68
2020-02-25,43,47.0,,0.47,20.209999999999997
2020-02-26,43,47.0,,0.47,20.209999999999997
2020-02-27,42,47.0,,0.47,19.74
2020-02-28,43,47.0,,0.47,20.209999999999997
2020-02-29,54,47.0,,0.47,25.38
2020-03-01,89,45.0,False,0.45,40.050000000000004
2020-03-02,62,45.0,,0.45,27.900000000000002
2020-03-03,72,45.0,,0.45,32.4
2020-03-04,76,45.0,,0.45,34.2
2020-03-05,67,45.0,,0.45,30.150000000000002
2020-03-06,66,45.0,,0.45,29.7
2020-03-07,80,45.0,,0.45,36.0
2020-03-08,81,42.0,False,0.42,34.019999999999996
2020-03-09,60,42.0,,0.42,25.2
2020-03-10,62,42.0,,0.42,26.04
2020-03-11,62,42.0,,0.42,26.04
2020-03-12,68,42.0,,0.42,28.56
2020-03-13,64,42.0,,0.42,26.88
2020-03-14,86,42.0,,0.42,36.12
2020-03-15,100,40.0,False,0.4,40.0
2020-03-16,56,40.0,,0.4,22.400000000000002
2020-03-17,58,40.0,,0.4,23.200000000000003
